user_id,user_gender,user_age,age_group,country,location,interests,birth_year,generation
1,Female,24,18-24,United Kingdom,New Mariomouth,"fitness, health",2001,Generation Z
2,Male,21,18-24,Germany,Danielsfort,"food, fitness, lifestyle",2004,Generation Z
3,Male,27,25-34,Australia,Vincentchester,"fashion, news",1998,Generation Z
4,Female,28,25-34,India,Lisaport,"health, news, finance",1997,Generation Z
5,Male,28,25-34,United States,Brownmouth,"health, photography, lifestyle",1997,Generation Z
6,Male,33,25-34,Australia,North Chad,fitness,1992,Millennials
7,Male,22,18-24,Mexico,Gallagherbury,"health, technology, news",2003,Generation Z
8,Male,31,25-34,India,Chambersport,travel,1994,Millennials
9,Male,25,25-34,Canada,West Phillip,fashion,2000,Generation Z
10,Female,32,25-34,Canada,West Carla,"gaming, lifestyle",1993,Millennials
11,Male,19,18-24,United Kingdom,Justinview,"news, health",2006,Generation Z
12,Male,35,35-44,Japan,Wardmouth,food,1990,Millennials
13,Male,35,35-44,Canada,Edwardsmouth,fashion,1990,Millennials
14,Female,27,25-34,United States,New Steven,health,1998,Generation Z
15,Female,24,18-24,Japan,Lake Courtneyfort,finance,2001,Generation Z
16,Female,20,18-24,France,East Sierrafort,"news, lifestyle, travel",2005,Generation Z
17,Other,21,18-24,India,South Ryanmouth,"photography, sports",2004,Generation Z
18,Male,24,18-24,United States,North Cindy,"news, travel",2001,Generation Z
19,Male,23,18-24,United States,Knightton,finance,2002,Generation Z
20,Other,23,18-24,United Kingdom,East Adam,"lifestyle, news, art",2002,Generation Z
21,Female,34,25-34,Canada,Lake Cheryl,"photography, lifestyle",1991,Millennials
22,Other,33,25-34,Japan,Port Elizabeth,"travel, gaming",1992,Millennials
23,Male,30,25-34,United States,Peterchester,"gaming, health, photography",1995,Generation Z
24,Female,31,25-34,Germany,Port Kristina,"lifestyle, art",1994,Millennials
25,Male,25,25-34,Canada,East Austin,"fitness, photography",2000,Generation Z
26,Male,35,35-44,United States,Port Christine,"sports, finance",1990,Millennials
27,Female,29,25-34,Brazil,South Carlaborough,fitness,1996,Generation Z
28,Male,20,18-24,India,Brandiland,fitness,2005,Generation Z
29,Female,38,35-44,United States,East William,"food, fitness",1987,Millennials
30,Male,20,18-24,United States,West Brandonshire,"travel, technology",2005,Generation Z
31,Female,31,25-34,Canada,Leeside,"photography, travel, art",1994,Millennials
32,Male,37,35-44,Canada,East Karen,travel,1988,Millennials
33,Male,25,25-34,United States,South Michaelbury,art,2000,Generation Z
34,Male,23,18-24,Canada,Lake Monica,food,2002,Generation Z
35,Male,25,25-34,Germany,Garciatown,finance,2000,Generation Z
36,Male,18,18-24,Japan,Webbmouth,art,2007,Generation Z
37,Female,45,45-54,Canada,Shawnhaven,"fashion, health, news",1980,Millennials
38,Female,23,18-24,United States,East Wanda,"fashion, gaming",2002,Generation Z
39,Female,23,18-24,Canada,Port Nancy,technology,2002,Generation Z
40,Male,16,16-17,Japan,Danielview,"lifestyle, health, finance",2009,Generation Z
41,Male,34,25-34,United States,Kingside,"art, news",1991,Millennials
42,Male,16,16-17,India,Collierfurt,"fashion, sports, fitness",2009,Generation Z
43,Male,31,25-34,Brazil,Weaverfurt,"travel, technology, news",1994,Millennials
44,Female,28,25-34,United States,Walterberg,photography,1997,Generation Z
45,Male,18,18-24,Canada,South Lynn,"sports, technology",2007,Generation Z
46,Male,20,18-24,Canada,East Brett,"health, sports",2005,Generation Z
47,Male,41,35-44,Japan,West Jasonmouth,"photography, sports",1984,Millennials
48,Male,22,18-24,Canada,Hodgesstad,"art, sports, food",2003,Generation Z
49,Male,38,35-44,Germany,Port Wandaville,"travel, technology",1987,Millennials
50,Male,28,25-34,United States,Port Rhonda,"health, finance, travel",1997,Generation Z
51,Male,35,35-44,United Kingdom,North Denise,"health, fitness, fashion",1990,Millennials
52,Male,23,18-24,United States,Port Derek,"food, finance, fashion",2002,Generation Z
53,Female,20,18-24,Germany,Stacymouth,fitness,2005,Generation Z
54,Male,28,25-34,United States,New Deborah,health,1997,Generation Z
55,Male,18,18-24,United Kingdom,West Carrie,"finance, travel",2007,Generation Z
56,Female,31,25-34,United Kingdom,West Keith,"fitness, art",1994,Millennials
57,Female,25,25-34,United States,New Leemouth,fitness,2000,Generation Z
58,Male,45,45-54,India,Matthewborough,"finance, news, sports",1980,Millennials
59,Male,16,16-17,Germany,Port Kristin,news,2009,Generation Z
60,Female,32,25-34,Australia,Frostton,gaming,1993,Millennials
61,Other,18,18-24,Australia,Port Ryan,"fashion, finance",2007,Generation Z
62,Male,34,25-34,Germany,North Henry,"lifestyle, fitness",1991,Millennials
63,Female,16,16-17,France,Gregport,"travel, gaming",2009,Generation Z
64,Female,26,25-34,India,Davischester,"fitness, travel, gaming",1999,Generation Z
65,Male,65,55-65,France,Lake Joseph,fitness,1960,The Baby Boomer Generation 
66,Female,25,25-34,Germany,West Anthonytown,"art, fitness",2000,Generation Z
67,Female,43,35-44,United States,Lake Matthew,"gaming, sports, food",1982,Millennials
68,Other,19,18-24,Canada,Josephland,"lifestyle, art",2006,Generation Z
69,Male,16,16-17,United States,Lake Jason,"travel, fitness",2009,Generation Z
70,Female,19,18-24,Japan,Stephenland,"finance, news, food",2006,Generation Z
71,Male,20,18-24,United Kingdom,Ashleyshire,food,2005,Generation Z
72,Female,45,45-54,United States,Port Margaret,health,1980,Millennials
73,Female,16,16-17,United States,East Jessicamouth,"travel, fitness, technology",2009,Generation Z
74,Female,26,25-34,United States,Christopherfort,"photography, finance",1999,Generation Z
75,Male,28,25-34,Brazil,New Williambury,technology,1997,Generation Z
76,Male,29,25-34,Australia,North Nathanielburgh,"sports, fitness, technology",1996,Generation Z
77,Male,43,35-44,United States,Torresfurt,"technology, fashion",1982,Millennials
78,Male,16,16-17,United States,Lake Kylie,"lifestyle, travel",2009,Generation Z
79,Male,22,18-24,United Kingdom,West David,"sports, travel, technology",2003,Generation Z
80,Other,30,25-34,Canada,Port Katie,"art, health",1995,Generation Z
81,Male,18,18-24,United States,Lake David,"finance, sports, travel",2007,Generation Z
82,Female,27,25-34,India,West Lorimouth,"fitness, health, food",1998,Generation Z
83,Male,22,18-24,United States,Maryton,"health, fitness",2003,Generation Z
84,Male,38,35-44,Brazil,Port Cassandra,lifestyle,1987,Millennials
85,Female,28,25-34,United Kingdom,Farrellton,"photography, fashion",1997,Generation Z
86,Male,21,18-24,United Kingdom,South Kyle,"photography, food",2004,Generation Z
87,Male,27,25-34,United Kingdom,East Heather,food,1998,Generation Z
88,Female,29,25-34,United States,Tinafort,"fashion, lifestyle",1996,Generation Z
89,Male,21,18-24,Japan,Port Williefurt,finance,2004,Generation Z
90,Male,23,18-24,United States,Lake Chris,fitness,2002,Generation Z
91,Male,20,18-24,United Kingdom,Lucasview,"finance, art, sports",2005,Generation Z
92,Male,21,18-24,United States,Johnside,"travel, finance",2004,Generation Z
93,Female,16,16-17,United States,North Michelle,"photography, lifestyle, fitness",2009,Generation Z
94,Male,27,25-34,United States,Juliamouth,"technology, food",1998,Generation Z
95,Male,18,18-24,Australia,South Victor,"travel, sports",2007,Generation Z
96,Female,18,18-24,France,Normanland,"finance, technology",2007,Generation Z
97,Female,17,16-17,Brazil,Wilsonborough,sports,2008,Generation Z
98,Female,33,25-34,United Kingdom,South Charlesport,travel,1992,Millennials
99,Female,17,16-17,United Kingdom,East Sarahfort,sports,2008,Generation Z
100,Male,23,18-24,United States,Jennychester,"finance, news",2002,Generation Z
101,Female,33,25-34,United States,Kathleenmouth,"gaming, technology",1992,Millennials
102,Male,43,35-44,United Kingdom,North Latoyafort,news,1982,Millennials
103,Male,36,35-44,United States,South Heiditon,lifestyle,1989,Millennials
104,Female,21,18-24,Canada,Michellehaven,finance,2004,Generation Z
105,Female,20,18-24,Canada,Matthewmouth,"photography, gaming, food",2005,Generation Z
106,Female,33,25-34,Mexico,Shepherdborough,travel,1992,Millennials
107,Male,21,18-24,United Kingdom,South Bryanville,travel,2004,Generation Z
108,Male,32,25-34,United Kingdom,Jaredburgh,"fashion, technology, fitness",1993,Millennials
109,Female,49,45-54,Canada,Port Maurice,"finance, news, food",1976,Generation X 
110,Male,29,25-34,United States,Port Jodi,"health, fashion, lifestyle",1996,Generation Z
111,Male,30,25-34,Canada,Port Amyshire,lifestyle,1995,Generation Z
112,Female,23,18-24,Germany,Port Tanner,lifestyle,2002,Generation Z
113,Female,32,25-34,United States,Williamsfurt,health,1993,Millennials
114,Male,20,18-24,Mexico,Brendaland,"lifestyle, fitness",2005,Generation Z
115,Female,32,25-34,United States,North Sharonport,"sports, news, photography",1993,Millennials
116,Male,30,25-34,India,East Andreahaven,"lifestyle, photography",1995,Generation Z
117,Male,24,18-24,United States,East Jimmyton,"technology, food",2001,Generation Z
118,Male,28,25-34,Canada,Bishopmouth,gaming,1997,Generation Z
119,Other,31,25-34,Canada,Gregoryland,"fitness, food",1994,Millennials
120,Female,33,25-34,Australia,Banksview,"gaming, technology, news",1992,Millennials
121,Male,20,18-24,Brazil,Russellberg,"food, photography, news",2005,Generation Z
122,Female,27,25-34,Australia,Lake Jenniferville,fitness,1998,Generation Z
123,Male,33,25-34,Germany,New Richard,"fashion, food, art",1992,Millennials
124,Other,36,35-44,Australia,South Kimberly,"health, food, lifestyle",1989,Millennials
125,Male,33,25-34,United States,Mistymouth,"news, food, photography",1992,Millennials
126,Female,36,35-44,Japan,Stephaniemouth,food,1989,Millennials
127,Male,29,25-34,United States,Daniellehaven,"technology, fashion",1996,Generation Z
128,Female,35,35-44,United Kingdom,Jamesport,"sports, travel",1990,Millennials
129,Male,39,35-44,United States,Michelleshire,"gaming, news, food",1986,Millennials
130,Male,20,18-24,United States,Lake Carrie,"food, sports",2005,Generation Z
131,Female,37,35-44,India,Michaelchester,"lifestyle, fashion",1988,Millennials
132,Male,36,35-44,Japan,Port Caitlinland,"fitness, lifestyle, gaming",1989,Millennials
133,Male,32,25-34,India,Leeville,fitness,1993,Millennials
134,Male,30,25-34,United States,West Jonathanberg,"travel, food",1995,Generation Z
135,Male,32,25-34,Germany,Finleymouth,"fitness, travel",1993,Millennials
136,Female,23,18-24,United Kingdom,North Mathewton,technology,2002,Generation Z
137,Male,20,18-24,United Kingdom,West Jennifer,"technology, fitness",2005,Generation Z
138,Other,31,25-34,United States,Lake Daniellebury,"lifestyle, news, fitness",1994,Millennials
139,Male,24,18-24,United States,Herbertborough,"travel, fitness, technology",2001,Generation Z
140,Male,16,16-17,United Kingdom,New Gabrielstad,"health, lifestyle",2009,Generation Z
141,Female,18,18-24,Japan,South Paul,"travel, finance",2007,Generation Z
142,Female,39,35-44,Australia,North Melissa,"photography, food, gaming",1986,Millennials
143,Female,29,25-34,Brazil,Charlesshire,"travel, fitness, photography",1996,Generation Z
144,Male,20,18-24,Mexico,Olsonchester,"food, sports",2005,Generation Z
145,Male,21,18-24,India,Hayesberg,"sports, news",2004,Generation Z
146,Male,19,18-24,Canada,South Michele,"fitness, fashion",2006,Generation Z
147,Male,16,16-17,Germany,Port Davidtown,"finance, health, food",2009,Generation Z
148,Male,19,18-24,Canada,East Joseph,"news, photography",2006,Generation Z
149,Male,26,25-34,India,East Claudiafurt,technology,1999,Generation Z
150,Female,26,25-34,United States,Houstonville,"news, sports, food",1999,Generation Z
151,Female,23,18-24,Canada,Simmonshaven,"lifestyle, gaming, photography",2002,Generation Z
152,Male,28,25-34,United Kingdom,East Shawn,"fashion, photography, news",1997,Generation Z
153,Male,20,18-24,Mexico,Mcdonaldmouth,finance,2005,Generation Z
154,Male,22,18-24,Canada,New Seanland,"news, health",2003,Generation Z
155,Male,21,18-24,Brazil,South Michael,"gaming, photography",2004,Generation Z
156,Other,16,16-17,India,North Christopher,"food, sports",2009,Generation Z
157,Female,33,25-34,Germany,Robertfort,photography,1992,Millennials
158,Male,20,18-24,France,Lake Cameron,"art, fitness",2005,Generation Z
159,Male,19,18-24,Brazil,New Davidberg,"fashion, food, news",2006,Generation Z
160,Other,23,18-24,United States,West Ryanport,fashion,2002,Generation Z
161,Male,28,25-34,United States,South Caitlin,photography,1997,Generation Z
162,Female,28,25-34,Mexico,Bushtown,"gaming, technology, fitness",1997,Generation Z
163,Male,18,18-24,Brazil,Stephanieland,finance,2007,Generation Z
164,Other,24,18-24,United States,Patriciaburgh,"gaming, fitness, art",2001,Generation Z
165,Male,22,18-24,United Kingdom,Reevesland,"photography, finance, technology",2003,Generation Z
166,Male,31,25-34,United Kingdom,Carsonmouth,"art, fitness, sports",1994,Millennials
167,Male,16,16-17,United States,Pughtown,travel,2009,Generation Z
168,Female,22,18-24,United Kingdom,Lake Timothyhaven,"sports, finance, gaming",2003,Generation Z
169,Female,33,25-34,India,South Sarahport,"fitness, technology",1992,Millennials
170,Female,26,25-34,United States,South Samantha,"photography, health",1999,Generation Z
171,Female,32,25-34,United States,Santanastad,photography,1993,Millennials
172,Male,37,35-44,United States,Maryview,"fashion, gaming, travel",1988,Millennials
173,Other,32,25-34,Japan,West Mary,"health, finance, fashion",1993,Millennials
174,Female,36,35-44,India,Millsside,"news, art",1989,Millennials
175,Female,42,35-44,Canada,Kevinville,food,1983,Millennials
176,Male,31,25-34,United Kingdom,East Jasmine,health,1994,Millennials
177,Female,19,18-24,Brazil,East Deborahville,photography,2006,Generation Z
178,Male,21,18-24,Germany,Taylorville,lifestyle,2004,Generation Z
179,Female,22,18-24,Canada,Port Johnfurt,health,2003,Generation Z
180,Female,24,18-24,Australia,Rasmussenberg,"finance, gaming, fashion",2001,Generation Z
181,Female,16,16-17,Japan,Lake Donshire,"art, food, photography",2009,Generation Z
182,Female,19,18-24,Canada,Lake Seanstad,"fitness, gaming",2006,Generation Z
183,Male,31,25-34,Mexico,Port Elizabethfurt,"health, fitness, technology",1994,Millennials
184,Female,18,18-24,Australia,New Patriciachester,"lifestyle, news, health",2007,Generation Z
185,Female,23,18-24,United States,East Johnborough,"fashion, photography, sports",2002,Generation Z
186,Male,16,16-17,Mexico,West Johnborough,"gaming, sports, photography",2009,Generation Z
187,Female,18,18-24,United Kingdom,Karenport,photography,2007,Generation Z
188,Female,33,25-34,Mexico,South Curtismouth,photography,1992,Millennials
189,Female,19,18-24,United States,Lake Jenniferside,"fashion, finance, news",2006,Generation Z
190,Male,33,25-34,Australia,Port John,"food, news, photography",1992,Millennials
191,Female,39,35-44,United States,Gutierrezland,fitness,1986,Millennials
192,Male,21,18-24,Australia,Foxfort,finance,2004,Generation Z
193,Female,31,25-34,United States,South Kristen,"travel, art, photography",1994,Millennials
194,Male,30,25-34,Mexico,Brianland,"gaming, fitness",1995,Generation Z
195,Male,26,25-34,United States,New Williamchester,technology,1999,Generation Z
196,Male,35,35-44,United States,Cardenasside,"finance, gaming",1990,Millennials
197,Male,34,25-34,United States,Brianamouth,"art, photography",1991,Millennials
198,Male,26,25-34,Australia,West Michaelberg,technology,1999,Generation Z
199,Female,29,25-34,United Kingdom,Tylerfort,fashion,1996,Generation Z
200,Female,28,25-34,United States,Olsonchester,"lifestyle, fitness",1997,Generation Z
201,Female,27,25-34,United States,East Kristina,"news, finance, gaming",1998,Generation Z
202,Female,40,35-44,Japan,Berrychester,travel,1985,Millennials
203,Male,18,18-24,United States,Joneshaven,"technology, news, art",2007,Generation Z
204,Other,27,25-34,Canada,North Jenniferland,"gaming, finance, health",1998,Generation Z
205,Female,29,25-34,France,New Josephtown,"finance, sports, food",1996,Generation Z
206,Female,17,16-17,United Kingdom,Nicoleburgh,"gaming, fashion, technology",2008,Generation Z
207,Other,31,25-34,Japan,Andersenmouth,"food, news",1994,Millennials
208,Female,29,25-34,United States,Patriciaview,"fitness, finance",1996,Generation Z
209,Male,29,25-34,Canada,South Sarah,sports,1996,Generation Z
210,Male,32,25-34,United Kingdom,Ruizborough,"food, health",1993,Millennials
211,Male,59,55-65,India,Romeroview,"lifestyle, fitness",1966,Generation X 
212,Female,19,18-24,United States,West Brianberg,"gaming, lifestyle, technology",2006,Generation Z
213,Male,43,35-44,India,North Douglas,"food, sports, news",1982,Millennials
214,Male,27,25-34,United States,Port Annfurt,"photography, art",1998,Generation Z
215,Other,16,16-17,United States,North Corystad,"technology, travel, art",2009,Generation Z
216,Male,30,25-34,Germany,Lorraineburgh,"photography, lifestyle, finance",1995,Generation Z
217,Female,29,25-34,Germany,Jamieberg,"art, photography",1996,Generation Z
218,Male,34,25-34,United States,East Jeffery,"sports, finance",1991,Millennials
219,Female,23,18-24,United States,Andrewburgh,"fashion, health, fitness",2002,Generation Z
220,Male,20,18-24,United States,New Amanda,"photography, fitness",2005,Generation Z
221,Male,23,18-24,India,South Courtney,food,2002,Generation Z
222,Female,48,45-54,Brazil,East Meagan,"fashion, art, food",1977,Generation X 
223,Female,21,18-24,Germany,Lake Victoriastad,"photography, food",2004,Generation Z
224,Male,26,25-34,United Kingdom,Port Stephanieview,sports,1999,Generation Z
225,Male,19,18-24,United States,Barbaraport,"technology, gaming",2006,Generation Z
226,Female,40,35-44,Mexico,Rosetown,photography,1985,Millennials
227,Female,28,25-34,Germany,Oliviaton,health,1997,Generation Z
228,Male,27,25-34,Germany,Mariaberg,"fashion, travel",1998,Generation Z
229,Female,48,45-54,Mexico,Port Hollyside,art,1977,Generation X 
230,Female,16,16-17,United States,Laurenville,art,2009,Generation Z
231,Male,32,25-34,Germany,New Douglas,travel,1993,Millennials
232,Other,47,45-54,United States,Andradeport,health,1978,Generation X 
233,Other,27,25-34,Canada,Huntmouth,health,1998,Generation Z
234,Male,22,18-24,Brazil,West Dana,"photography, sports, finance",2003,Generation Z
235,Male,27,25-34,Brazil,North Michael,"technology, lifestyle, art",1998,Generation Z
236,Male,17,16-17,France,Suarezchester,"sports, travel",2008,Generation Z
237,Female,28,25-34,United States,New Melissaborough,"travel, food",1997,Generation Z
238,Female,36,35-44,United Kingdom,Port Davidtown,"finance, lifestyle",1989,Millennials
239,Female,45,45-54,Canada,Port Alec,travel,1980,Millennials
240,Female,20,18-24,Australia,Floresmouth,"finance, gaming, technology",2005,Generation Z
241,Female,19,18-24,Germany,Jasonton,"food, lifestyle, health",2006,Generation Z
242,Male,16,16-17,United States,Lake William,"finance, news",2009,Generation Z
243,Male,24,18-24,United Kingdom,South Erika,fashion,2001,Generation Z
244,Male,32,25-34,United States,New Richard,"health, sports",1993,Millennials
245,Male,23,18-24,Canada,West Dana,"fashion, food, health",2002,Generation Z
